    step, crack_depth,    time,    ndof,  ms_err
    1.00,        10.0,     0.6,    4396,     1.0
    2.00,        10.0,     0.9,    6896,     0.9
    3.00,        13.7,     1.5,   12140,     0.8
    4.00,        21.1,     2.7,   21448,     0.6
    5.00,        27.7,     5.0,   34456,     0.5
    6.00,        35.3,     8.4,   49264,     0.4
    7.00,        40.9,    13.2,   60740,     0.3
    8.00,        43.8,    19.0,   71188,     0.3
    9.00,        46.8,    25.9,   80896,     0.2
   10.00,        48.0,    33.5,   88564,     0.2
   11.00,        49.0,    42.3,   97724,     0.2
   12.00,        49.7,    51.7,  104308,     0.2
   13.00,        49.9,    62.0,  112960,     0.2
   14.00,        49.9,    73.0,  122172,     0.1
   15.00,        49.9,    85.0,  129896,     0.1
   16.00,        49.9,    97.6,  138120,     0.1
   17.00,        49.9,   111.2,  146196,     0.1
   18.00,        49.9,   125.7,  153452,     0.1
   19.00,        49.9,   140.6,  162124,     0.1
   20.00,        49.9,   156.8,  169428,     0.1
   21.00,        49.9,   173.7,  178404,     0.1
